受渡日,時刻コード,システムプライス(円/kWh),Hokkaido,Tohoku,Tokyo,Chubu,Hokuriku,Kansai,Chugoku,Shikoku,Kyushu
2024/4/1,25,0.01,0.01,0.01,7.5,0.01,0.01,0.01,0.01,0.01,0.01
2024/4/1,26,0.01,0.01,0.01,7.7,0.01,0.01,0.01,0.01,0.01,0.01
2024/4/1,27,0.01,0.01,0.01,8.6,0.01,0.01,0.01,0.01,0.01,0.01
2024/4/1,28,0.01,0.01,0.01,8.82,0.01,0.01,0.01,0.01,0.01,0.01
2024/4/1,29,0.01,0.01,0.01,8.79,0.01,0.01,0.01,0.01,0.01,0.01
2024/4/1,30,0.01,0.01,0.01,8.95,0.01,0.01,0.01,0.01,0.01,0.01
2024/4/1,31,0.01,0.01,0.01,8.9,1,0.01,0.01,0.01,0.01,0.01
2024/4/1,32,5,3,3,8.95,5,0.02,0.02,0.02,0.02,0.02
2024/4/1,33,8.89,8.91,8.91,9.08,7.17,7.17,7.17,7.17,0.01,7.17
2024/4/1,34,9.78,9.84,9.84,9.84,9.84,9.84,9.84,9.84,9.05,9.84
2024/4/1,35,11.17,11.25,11.17,11.17,11.17,11.17,11.17,11.17,9.53,11.17
2024/4/1,36,13.15,15,15,15,15,15,15,15,9.22,15
2024/4/1,37,13.09,13.21,13.21,13.21,13.21,13.21,13.21,13.21,11.31,13.21
2024/4/1,38,15,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99
2024/4/1,39,14.46,15,15,15,15,15,15,15,15,15
2024/4/1,40,12.85,12.85,12.85,12.85,12.85,12.85,12.85,12.85,11.5,12.85
2024/4/1,41,11.75,11.76,11.76,11.76,11.76,11.76,11.76,11.76,11.3,11.76
2024/4/1,42,11.68,11.56,11.56,11.56,11.56,11.56,11.56,11.56,11.56,11.56
2024/4/1,43,11.65,11.54,11.54,11.54,11.54,11.54,11.54,11.54,11.54,11.54
2024/4/1,44,10.32,10.05,10.05,10.05,10.05,10.05,10.05,10.05,10.05,10.05
2024/4/1,45,10.44,10.41,10.41,10.41,10.41,10.41,10.41,10.41,10.41,10.41
2024/4/1,46,9.78,9.73,9.73,9.73,9.73,9.73,9.73,9.73,9.73,9.73
2024/4/1,47,9.71,9.69,9.69,9.69,9.69,9.53,9.53,9.53,9.53,9.53
2024/4/1,48,9.08,9.57,9.57,9.57,7.76,7.76,7.76,7.76,7.76,7.76
2024/4/2,1,9.39,9.57,9.57,9.57,9.57,8.41,8.41,8.41,8.41,8.41
2024/4/2,2,9.38,9.5,9.5,9.5,9.5,9.12,9.12,9.12,9.12,9.12
2024/4/2,3,9.4,9.51,9.51,9.51,9.51,9.12,9.12,9.12,9.12,9.12
2024/4/2,4,9.62,9.62,9.62,9.62,9.62,9.62,9.62,9.62,9.62,9.62
2024/4/2,5,9.7,9.7,9.7,9.7,9.7,9.7,9.7,9.7,9.7,9.7
2024/4/2,6,10.32,10.32,10.32,10.32,10.32,10.32,10.32,10.32,10.32,10.32
2024/4/2,7,10.39,10.39,10.39,10.39,10.39,10.39,10.39,10.39,10.39,10.39
2024/4/2,8,10.45,10.45,10.45,10.45,10.45,10.45,10.45,10.45,10.45,10.45
2024/4/2,9,11,11,11,11,11,11,11,11,11,11
2024/4/2,10,11.19,11.19,11.19,11.19,11.19,11.19,11.19,11.19,11.19,11.19
2024/4/2,11,12,12,12,12,12,12,12,12,12,12
2024/4/2,12,12.47,12.47,12.47,12.47,12.47,12.47,12.47,12.47,12.47,12.47
2024/4/2,13,12.47,12.47,12.47,12.47,12.47,12.47,12.47,12.47,12.47,12.47
2024/4/2,14,10.61,10.61,10.61,10.61,10.61,10.61,10.61,10.61,10.61,10.61
2024/4/2,15,9.22,9.02,9.02,9.22,9.22,9.22,9.22,9.22,9.22,9.22
2024/4/2,16,8.66,8.66,8.66,8.72,8.41,8.41,8.41,8.41,8.41,8.41
2024/4/2,17,7.52,3,3,8.89,7.17,7.17,7.17,7.17,7.17,7.17
2024/4/2,18,7,3,3,8.82,7.17,7.17,7.17,7.17,7.17,7.17
2024/4/2,19,7.17,8.91,3,8.9,7.15,7.15,7.15,7.15,7.15,7.15
2024/4/2,20,5.21,1,1,8.79,5.21,5.21,5.21,5.21,5.21,5.21
2024/4/2,21,4.72,0.01,0.01,8.72,3.01,3.01,3.01,3.01,3.01,3.01
2024/4/2,22,3,0.01,0.01,8.56,1,1,1,1,1,1
2024/4/2,23,1,0.01,0.01,8.5,0.27,0.09,0.09,0.09,0.09,0.09
2024/4/2,24,0.04,0.01,0.01,8.38,0.5,0.01,0.01,0.01,0.01,0.01
2024/4/2,25,0.01,0.01,0.01,6,0.01,0.01,0.01,0.01,0.01,0.01
2024/4/2,26,0.01,0.01,0.01,8.31,0.01,0.01,0.01,0.01,0.01,0.01
2024/4/2,27,0.02,0.01,0.01,8.56,0.5,0.01,0.01,0.01,0.01,0.01
2024/4/2,28,2,0.01,0.01,8.69,1.15,0.1,0.1,0.1,0.1,0.1
2024/4/2,29,3.26,0.01,0.01,8.75,5,3,3,3,3,3
2024/4/2,30,4.25,0.01,0.01,8.91,8.91,3.01,3.01,3.01,3.01,3.01
2024/4/2,31,7,3,3,8.82,7.15,7.15,7.15,7.15,7.15,7.15
2024/4/2,32,8.89,5,5,8.95,8.8,8.8,8.8,8.8,8.8,8.8
2024/4/2,33,9.02,9.02,9.02,9.08,8.75,8.75,8.75,8.75,8.75,8.75
2024/4/2,34,9.7,9.7,9.7,9.7,9.7,9.7,9.7,9.7,9.65,9.7
2024/4/2,35,11.54,11.54,11.54,11.54,11.54,11.54,11.54,11.54,11.36,11.54
2024/4/2,36,14.04,14.35,14.35,14.35,14.35,14.35,14.35,14.35,10.04,14.35
2024/4/2,37,14.29,15,15,15,15,15,15,15,12.47,15
2024/4/2,38,14.21,14.41,14.41,14.41,14.41,14.41,14.41,14.41,14.41,14.41
2024/4/2,39,13.98,14,14,14,14,14,14,14,14,14
2024/4/2,40,12.85,12.89,12.89,12.89,12.89,12.89,12.89,12.89,12.47,12.89
2024/4/2,41,13,13,13,13,13,13,13,13,13,13
2024/4/2,42,12.25,12.43,12.43,12.43,12.43,12.43,12.43,12.43,12.43,12.43
2024/4/2,43,12,12.25,12.25,12.25,12.25,12.25,12.25,12.25,11.5,12.25
2024/4/2,44,11.67,11.94,11.94,11.94,11.94,11.94,11.94,11.94,10.64,11.94
2024/4/2,45,11.81,11.86,11.86,11.86,11.86,11.86,11.86,11.86,11.86,11.86
2024/4/2,46,10,10.07,10.07,10.07,10.07,10.07,10.07,10.07,10.07,10.07
2024/4/2,47,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8
2024/4/2,48,9.02,9.76,9.76,9.76,9.76,7.48,7.48,7.48,7.48,7.48
2024/4/3,1,9.25,9.53,9.53,9.53,7.5,7.5,7.5,7.5,7.5,7.5
2024/4/3,2,9,9.36,9.36,9.36,9.36,7.17,7.17,7.17,7.17,7.17
2024/4/3,3,8.95,9.53,9.53,9.53,9.53,7.15,7.15,7.15,7.15,7.15
2024/4/3,4,9,9.14,9.14,9.14,9.14,7.17,7.17,7.17,7.17,7.17
2024/4/3,5,9.02,9.2,9.2,9.2,9.2,7.5,7.5,7.5,7.5,7.5
2024/4/3,6,9.2,9.25,9.25,9.25,9.25,8,8,8,8,8
2024/4/3,7,9.7,9.33,9.33,9.33,9.33,9,9,9,9,9
2024/4/3,8,10,9.62,9.62,9.62,9.62,9.62,9.62,9.62,9.62,9.62
2024/4/3,9,9.78,9.63,9.63,9.63,9.63,9.63,9.63,9.63,9.63,9.63
2024/4/3,10,9.75,9.35,9.35,9.35,9.35,9.35,9.35,9.35,9.35,9.35
2024/4/3,11,10.02,9.93,9.93,9.93,9.93,9.93,9.93,9.93,9.93,9.93
2024/4/3,12,9.66,9.32,9.32,9.32,9.32,9.32,9.32,9.32,9.32,9.32
2024/4/3,13,9.57,9.35,9.35,9.35,9,9,9,9,9,9
2024/4/3,14,9.55,9.35,9.35,9.35,9.35,9.35,9.35,9.35,9.35,9.35
2024/4/3,15,9.6,9.46,9.46,9.46,9.46,9.46,9.46,9.46,9.46,9.46
2024/4/3,16,10.07,10,10,10,10,10,10,10,10,10
2024/4/3,17,10.5,9.79,9.79,9.79,11.99,11.99,11.99,11.99,11.99,11.99
2024/4/3,18,11.35,8.87,8.87,10.67,16.19,16.19,16.19,16.19,16.19,16.19
2024/4/3,19,13.97,15.11,8.47,12.97,18.16,18.16,18.16,18.16,18.16,18.16
2024/4/3,20,12.85,8.35,8.35,13.09,18.79,18.79,18.79,18.79,18.79,18.79
2024/4/3,21,12,6,6,13.09,16.28,16.28,16.28,16.28,16.28,16.28
2024/4/3,22,12,1,1,13.09,17,17,17,17,17,17
2024/4/3,23,12.97,0.02,0.02,16.92,21.22,21.22,21.22,21.22,21.22,21.22
2024/4/3,24,12.44,0.01,0.01,17.79,17.79,17.79,17.79,17.79,17.79,17.79
2024/4/3,25,10.14,0.01,0.01,13.09,13.09,13.09,13.09,13.09,13.09,13.09
2024/4/3,26,10.14,0.01,0.01,12.97,12.97,12.97,12.97,12.97,12.97,12.97
2024/4/3,27,12.5,0.09,0.09,16.92,16.92,16.92,16.92,16.92,16.92,16.92
2024/4/3,28,13.18,1.69,1.69,22.35,22.35,22.35,22.35,22.35,22.35,22.35
2024/4/3,29,13.09,8.25,8.25,16.28,16.28,16.28,16.28,16.28,13,16.28
2024/4/3,30,13.09,8.25,8.79,16.28,16.28,16.28,16.28,16.28,16.28,16.28
2024/4/3,31,12,8.99,8.99,14.73,14.73,14.73,14.73,14.73,12.47,14.73
2024/4/3,32,14,10.56,10.56,16.92,16.92,16.92,16.92,16.92,16.92,16.92
2024/4/3,33,16.28,16.19,16.19,16.19,16.19,16.19,16.19,16.19,16.19,16.19
2024/4/3,34,16.28,16.28,16.28,16.28,16.28,16.28,16.28,16.28,16.28,16.28
2024/4/3,35,16.28,16.28,16.28,16.28,16.28,16.28,16.28,16.28,16.28,16.28
2024/4/3,36,16.28,16.28,16.28,16.28,16.28,16.28,16.28,16.28,16.28,16.28
2024/4/3,37,16.28,16.28,16.28,16.28,16.28,16.28,16.28,16.28,16.28,16.28
2024/4/3,38,16.28,16.28,16.28,16.28,16.28,16.28,16.28,16.28,16.28,16.28
2024/4/3,39,15.5,16.19,16.19,16.19,16.19,16.19,16.19,16.19,16.19,16.19
2024/4/3,40,14.16,15.54,15.54,15.54,15.54,15.54,15.54,15.54,15.54,15.54
2024/4/3,41,13.5,14.21,14.21,14.21,14.21,14.21,14.21,14.21,14.21,14.21
2024/4/3,42,12.5,12.85,12.85,12.85,12.85,12.85,12.85,12.85,12.85,12.85
2024/4/3,43,11.93,20,11.93,11.93,11.93,11.93,11.93,11.93,11.93,11.93
2024/4/3,44,10.58,10.61,10.61,10.61,10.61,10.61,10.61,10.61,10.61,10.61
2024/4/3,45,10.49,11,11,11,11,10.75,10.75,10.75,10.75,10.75
2024/4/3,46,9.7,10.02,10.02,10.02,10.02,8.95,8.95,8.95,8.95,8.95
2024/4/3,47,9.7,10,10,10,10,8.41,8.41,8.41,8.41,8.41
2024/4/3,48,8.95,9.74,9.74,9.74,6,6,6,6,6,6
2024/4/4,1,9.8,18.86,11.23,11.23,9.79,8,8,8,8,8
2024/4/4,2,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5
2024/4/4,3,10.5,18.86,10.48,10.48,10.48,10.48,10.48,10.48,10.48,10.48
2024/4/4,4,10.49,18.86,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4
2024/4/4,5,10.52,10.52,10.52,10.52,10.52,10.52,10.52,10.52,10.52,10.52
2024/4/4,6,10.43,18.86,10.19,10.19,10.19,10.19,10.19,10.19,10.19,10.19
2024/4/4,7,10.89,18.86,10.71,10.71,10.71,10.71,10.71,10.71,10.71,10.71
2024/4/4,8,10.77,10.65,10.65,10.65,10.65,10.65,10.65,10.65,10.65,10.65
2024/4/4,9,11.23,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2
2024/4/4,10,11.79,18.86,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5
2024/4/4,11,12.75,16.4,12.75,12.75,12.75,12.75,12.75,12.75,12.75,12.75
2024/4/4,12,11.76,18.26,11.76,11.76,11.76,11.76,11.76,11.76,11.76,11.76
2024/4/4,13,12,12,12,12,12,12,12,12,12,12
2024/4/4,14,13.15,13.15,13.15,13.15,13.15,13.15,13.15,13.15,13.15,13.15
2024/4/4,15,11.95,11.56,11.56,11.56,11.56,11.56,11.56,11.56,11.56,11.56
2024/4/4,16,10.32,10.32,10.32,10.32,10.32,10.32,10.32,10.32,10.32,10.32
2024/4/4,17,10,9.96,9.96,9.96,9.96,9.96,9.96,9.96,9.96,9.96
2024/4/4,18,9.33,9.54,9.54,9.54,9.11,9.11,9.11,9.11,9.11,9.11
2024/4/4,19,9.75,9.88,9.88,9.88,9.88,9.88,9.88,9.88,9.88,9.88
2024/4/4,20,9.25,9.33,9.33,9.33,9.33,9.33,9.33,9.33,9.33,9.33
2024/4/4,21,8.95,8.98,8.98,8.98,8.98,8.98,8.98,8.98,8.98,8.98
2024/4/4,22,8.82,8.76,8.76,8.95,8.95,8.95,8.95,8.95,8.87,8.95
2024/4/4,23,8.7,4.65,4.65,8.89,7.96,7.96,7.96,7.96,7.96,7.96
2024/4/4,24,7.96,3,3,8.93,7.15,7.15,7.15,7.15,0.5,7.15
2024/4/4,25,7.15,1,1,8.95,5.27,5.27,5.27,5.27,0.01,5.27
2024/4/4,26,7.15,0.09,0.09,9,6.01,6.01,6.01,6.01,0.01,6.01
2024/4/4,27,8.7,2,2,9.2,7.5,7.5,7.5,7.5,0.01,7.5
2024/4/4,28,8.86,2,2,9.26,7.96,7.96,7.96,7.96,1.37,7.96
2024/4/4,29,8.95,8,5,9.26,9.21,9.21,9.21,9.21,7.5,9.21
2024/4/4,30,8.94,8.01,8.01,9.09,9.09,8.71,8.71,8.71,8.71,8.71
2024/4/4,31,9.12,9.23,9.23,9.23,9.23,9.23,9.23,9.23,9.23,9.23
2024/4/4,32,9.66,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9
2024/4/4,33,10.02,10.06,10.06,10.06,10.06,10.06,10.06,10.06,10.06,10.06
2024/4/4,34,10.52,10.53,10.53,10.53,10.53,10.53,10.53,10.53,10.53,10.53
2024/4/4,35,12,12,12,12,12,12,12,12,10.43,12
2024/4/4,36,14.5,15,15,15,15,15,15,15,13.5,15
2024/4/4,37,12.75,12.85,12.85,12.85,12.85,12.85,12.85,12.85,9.5,12.85
2024/4/4,38,12.75,12.75,12.75,12.75,12.75,12.75,12.75,12.75,11,12.75
2024/4/4,39,12.75,12.75,12.75,12.75,12.75,12.75,12.75,12.75,12.75,12.75
2024/4/4,40,12.32,12.32,12.32,12.32,12.32,12.32,12.32,12.32,12.32,12.32
2024/4/4,41,12.46,12.46,12.46,12.46,12.46,12.46,12.46,12.46,12.46,12.46
2024/4/4,42,12,12,12,12,12,12,12,12,12,12
2024/4/4,43,12,12,12,12,12,12,12,12,12,12
2024/4/4,44,10.89,10.89,10.89,10.89,10.89,10.89,10.89,10.89,10.89,10.89
2024/4/4,45,11.86,11.86,11.86,11.86,11.86,11.86,11.86,11.86,11.86,11.86
2024/4/4,46,10.14,10.14,10.14,10.14,10.14,10.14,10.14,10.14,10.14,10.14
2024/4/4,47,9.57,9.66,9.66,9.66,9.66,9.12,9.12,9.12,9.12,9.12
2024/4/4,48,9.02,9.5,9.5,9.5,9.5,7.48,7.48,7.48,7.48,7.48
2024/4/5,1,9.53,10.45,10.45,10.45,10.45,8.41,8.41,8.41,8.41,8.41
2024/4/5,2,10.02,18.86,10.32,10.32,10.32,9.55,9.55,9.55,9.55,9.55
2024/4/5,3,10,18.86,10.02,10.02,10.02,10.02,10.02,10.02,10.02,10.02
2024/4/5,4,10.02,10.18,10.18,10.18,10.18,10.18,10.18,10.18,10.18,10.18
2024/4/5,5,10.02,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3
2024/4/5,6,10.3,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5
2024/4/5,7,10.39,18.86,10.69,10.69,10.69,10.69,10.69,10.69,10.69,10.69
2024/4/5,8,10.51,18.86,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2
2024/4/5,9,10.66,11.73,11.73,11.73,11.73,11.73,11.73,11.73,11.73,11.73
2024/4/5,10,11.18,11.95,11.95,11.95,11.95,11.95,11.95,11.95,11.95,11.95
2024/4/5,11,12.55,11.67,11.67,11.67,14.63,14.63,14.63,14.63,14.63,14.63
2024/4/5,12,11.61,11.15,11.15,11.15,12.55,12.55,12.55,12.55,12.55,12.55
2024/4/5,13,12,12,12,12,13.44,13.44,13.44,13.44,13.44,13.44
2024/4/5,14,12,15.99,11.23,11.23,12,12,12,12,12,12
2024/4/5,15,10.89,9.94,10.32,11.5,11.5,11.5,11.5,11.5,11.5,11.5
2024/4/5,16,9.87,9.87,9.87,9.87,9.87,9.87,9.87,9.87,9.87,9.87
2024/4/5,17,9.39,8.28,8.28,10.31,10.31,10.31,10.31,10.31,10.31,10.31
2024/4/5,18,9.41,3.84,3.84,11.17,11.17,11.17,11.17,11.17,11.17,11.17
2024/4/5,19,9.31,8.28,5,9.89,9.89,9.89,9.89,9.89,9.89,9.89
2024/4/5,20,9.18,2,2,10,9.09,9.09,9.09,9.09,8.95,9.09
2024/4/5,21,9.13,0.09,0.09,11.3,11.3,10.89,10.89,10.89,6,10.89
2024/4/5,22,8.68,0.01,0.01,11.1,11.1,7.48,7.48,7.48,0.01,7.48
2024/4/5,23,8.51,0.01,0.01,10,9.79,7.15,7.15,7.15,0.01,7.15
2024/4/5,24,8.68,0.01,0.01,10.1,9.14,7.15,7.15,7.15,1,7.15
2024/4/5,25,8,0.01,0.01,9.91,9.11,5.27,5.27,5.27,0.01,5.27
2024/4/5,26,7.77,0.01,0.01,9.84,9.03,6,6,6,0.01,6
2024/4/5,27,8.68,0.01,0.01,9.7,9.7,7.17,7.17,7.17,5,7.17
2024/4/5,28,8.95,0.01,0.01,11.23,11.23,7.95,7.95,7.95,7.95,7.95
2024/4/5,29,9.07,2,2,11.36,11.36,8,8,8,8,8
2024/4/5,30,9.03,2,2,10.39,10.39,7.17,7.17,7.17,7.17,7.17
2024/4/5,31,9.22,8,8,10.1,10.1,8.41,8.41,8.41,8.41,8.41
2024/4/5,32,9.69,9.02,9.02,10.14,10.14,10.14,10.14,10.14,10.14,10.14
2024/4/5,33,10.32,10.32,10.32,11.54,11.54,11.54,11.54,11.54,11.54,11.54
2024/4/5,34,11.41,11.54,11.54,11.54,11.54,11.54,11.54,11.54,11.54,11.54
2024/4/5,35,12,12,12,12,12,12,12,12,12,12
2024/4/5,36,13.09,13.09,13.09,13.09,13.09,13.09,13.09,13.09,13.09,13.09
2024/4/5,37,13.67,13.67,13.67,13.67,13.67,13.67,13.67,13.67,13.67,13.67
2024/4/5,38,16.03,14.99,14.99,14.99,16.19,16.19,16.19,16.19,16.19,16.19
2024/4/5,39,14,14,14,14,14,14,14,14,14,14
2024/4/5,40,13.9,13.9,13.9,13.9,13.9,13.9,13.9,13.9,13.9,13.9
2024/4/5,41,13.21,13.21,13.21,13.21,13.21,13.21,13.21,13.21,13.21,13.21
2024/4/5,42,13.09,13.09,13.09,13.09,13.09,13.09,13.09,13.09,13.09,13.09
2024/4/5,43,12.85,12.85,12.85,12.85,12.85,12.85,12.85,12.85,12.85,12.85
2024/4/5,44,12.55,12.55,12.55,12.55,12.55,12.55,12.55,12.55,12.55,12.55
2024/4/5,45,12.59,12.59,12.59,12.59,12.59,12.59,12.59,12.59,12.59,12.59
2024/4/5,46,11,11,11,11,11,11,11,11,11,11
2024/4/5,47,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3
2024/4/5,48,9.74,9.9,9.9,9.9,9.55,9.55,9.55,9.55,9.55,9.55
2024/4/6,1,10.5,12.27,12.27,12.27,9.29,9.29,9.29,9.29,9.29,9.29
2024/4/6,2,10.26,10.49,10.49,10.49,10,10,10,10,10,10
2024/4/6,3,10.42,10.69,10.69,10.69,10.69,10.24,10.24,10.24,10.24,10.24
2024/4/6,4,10.95,11.37,11.37,11.37,11.37,11,11,11,11,11
2024/4/6,5,11.54,11.87,11.87,11.87,11.87,11.87,11.87,11.87,11.87,11.87
2024/4/6,6,12,12,12,12,12,12,12,12,12,12
2024/4/6,7,12.27,12.27,12.27,12.27,12.27,12.27,12.27,12.27,12.27,12.27
2024/4/6,8,12.85,12.85,12.85,12.85,12.85,12.85,12.85,12.85,12.85,12.85
2024/4/6,9,12.85,12.85,12.85,12.85,12.85,12.85,12.85,12.85,12.85,12.85
2024/4/6,10,12.85,12.85,12.85,12.85,12.85,12.85,12.85,12.85,12.85,12.85
2024/4/6,11,12.85,12.85,12.85,12.85,12.85,12.85,12.85,12.85,12.85,12.85
2024/4/6,12,12.63,12.63,12.63,12.63,12.63,12.63,12.63,12.63,12.63,12.63
2024/4/6,13,11.99,12.03,12.03,12.03,12.03,11.95,11.95,11.95,11.95,11.95
2024/4/6,14,10.37,10.37,10.37,10.37,10.37,9.96,9.96,9.96,9.96,9.96
2024/4/6,15,9.47,8.73,9.57,9.57,9.57,8.12,8.12,8.12,8.12,8.12
2024/4/6,16,9.11,8.3,9.18,9.47,9.47,7.32,7.32,7.32,7.32,7.32
2024/4/6,17,9.11,8.3,9.19,9.31,7.92,7.92,7.92,7.92,7.92,7.92
2024/4/6,18,9.07,8.01,8.01,9.37,7.92,7.92,7.92,7.92,7.92,7.92
2024/4/6,19,9.03,8.3,8.3,9.57,7.32,7.32,7.32,7.32,7.32,7.32
2024/4/6,20,8.19,3,3,9.52,4,4,4,4,4,4
2024/4/6,21,7,0.09,0.09,9.4,0.6,0.6,0.6,0.6,0.6,0.6
2024/4/6,22,5,0.01,0.01,9.51,0.09,0.09,0.09,0.09,0.09,0.09
2024/4/6,23,4,0.01,0.01,9.4,0.01,0.01,0.01,0.01,0.01,0.01
2024/4/6,24,3.5,0.01,0.01,9.51,0.01,0.01,0.01,0.01,0.01,0.01
2024/4/6,25,3,0.01,0.01,9.51,0.01,0.01,0.01,0.01,0.01,0.01
2024/4/6,26,3,0.01,0.01,9.51,0.01,0.01,0.01,0.01,0.01,0.01
2024/4/6,27,5.27,0.01,0.01,9.51,0.2,0.2,0.2,0.2,0.2,0.2
2024/4/6,28,7.3,0.1,0.1,9.31,2,2,2,2,2,2
2024/4/6,29,7.92,5,5,9.31,5.41,5.41,5.41,5.41,5.41,5.41
2024/4/6,30,8.78,8.37,8.37,9.24,7.68,7.68,7.68,7.68,7.68,7.68
2024/4/6,31,9.14,8.48,9.17,9.17,9.17,9.17,9.17,9.17,9.17,9.17
2024/4/6,32,9.73,9,9.73,9.73,9.73,9.73,9.73,9.73,9.73,9.73
2024/4/6,33,9.67,9.68,9.68,9.68,9.67,9.67,9.67,9.67,9.67,9.67
2024/4/6,34,10.46,10.53,10.53,10.53,10.25,10.25,10.25,10.25,10.25,10.25
2024/4/6,35,10.63,10.63,10.63,10.63,10.63,10.63,10.63,10.63,10.63,10.63
2024/4/6,36,11.95,11.95,11.95,11.95,11.95,11.95,11.95,11.95,11.95,11.95
2024/4/6,37,12.85,12.85,12.85,12.85,12.85,12.85,12.85,12.85,12.85,12.85
2024/4/6,38,13.47,13.47,13.47,13.47,13.47,13.47,13.47,13.47,13.47,13.47
2024/4/6,39,12.65,12.65,12.65,12.65,12.65,12.65,12.65,12.65,12.65,12.65
2024/4/6,40,12.55,12.55,12.55,12.55,12.55,12.55,12.55,12.55,12.55,12.55
2024/4/6,41,12,12,12,12,12,12,12,12,12,12
2024/4/6,42,11.58,11.58,11.58,11.58,11.58,11.58,11.58,11.58,11.58,11.58
2024/4/6,43,11.33,11.33,11.33,11.33,11.33,11.33,11.33,11.33,11.33,11.33
2024/4/6,44,10.46,10.44,10.44,10.44,10.44,10.44,10.44,10.44,10.44,10.44
2024/4/6,45,10.62,10.49,10.49,10.49,10.49,10.49,10.49,10.49,10.49,10.49
2024/4/6,46,10.19,10.19,10.19,10.19,10.19,10.19,10.19,10.19,10.19,10.19
2024/4/6,47,10.22,10.22,10.22,10.22,10.22,10.19,10.19,10.19,10.19,10.19
2024/4/6,48,9.52,9.64,9.64,9.64,8.59,8.59,8.59,8.59,8.59,8.59
2024/4/7,1,10.96,18.26,13.53,13.53,9.68,9.68,9.68,9.68,9.68,9.68
2024/4/7,2,10.23,12.45,12.45,12.45,12.45,9.1,9.1,9.1,9.1,9.1
2024/4/7,3,10.11,12.23,12.23,12.23,9.65,8.9,8.9,8.9,8.9,8.9
2024/4/7,4,9.98,10.7,10.7,10.7,9.79,8.89,8.89,8.89,8.89,8.89
2024/4/7,5,10.16,10.7,10.7,10.7,10.7,9.1,9.1,9.1,9.1,9.1
2024/4/7,6,10.3,12,12,12,10.03,9.88,9.88,9.88,9.88,9.88
2024/4/7,7,10.41,10.5,10.5,10.5,10.5,10.18,10.18,10.18,10.18,10.18
2024/4/7,8,11.01,11.01,11.01,11.01,11.01,10.82,10.82,10.82,10.82,10.82
2024/4/7,9,10.5,10.79,10.79,10.79,10.18,10.18,10.18,10.18,10.18,10.18
